x,y
-1.2465131729,1.2908021771
-1.2743994299,1.2743994299
-1.3021158445,1.2574386545
-1.3296519184,1.2399204732
-1.3569971201,1.2218456950
-1.3841408875,1.2032153168
-1.4110726319,1.1840305250
-1.4377817402,1.1642926964
-1.4642575789,1.1440033999
-1.4904894972,1.1231643973
-1.5164668301,1.1017776444
-1.5421789018,1.0798452923
-1.5676150294,1.0573696885
-1.5927645260,1.0343533773
-1.6176167039,1.0107991014
-1.6421608789,0.9867098022
-1.6663863727,0.9620886209
-1.6902825176,0.9369388990
-1.7138386588,0.9112641793
-1.7370441593,0.8850682061
-1.7598884023,0.8583549261
-1.7823607958,0.8311284887
-1.8044507754,0.8033932464
-1.8261478089,0.7751537555
-1.8474413991,0.7464147759
-1.8683210882,0.7171812717
-1.8887764613,0.6874584111
-1.9087971498,0.6572515668
-1.9283728360,0.6265663161
-1.9474932560,0.5954084403
-1.9661482042,0.5637839253
-1.9843275368,0.5316989610
-2.0020211756,0.4991599414
-2.0192191121,0.4661734639
-2.0359114111,0.4327463294
-2.0520882147,0.3988855415
-2.0677397461,0.3645983063
-2.0828563138,0.3298920315
-2.0974283150,0.2947743261
-2.1114462398,0.2592529994
-2.1249006751,0.2233360605
-2.1377823085,0.1870317171
-2.1500819321,0.1503483749
-2.1617904466,0.1132946366
-2.1728988650,0.0758793004
-2.1833983165,0.0381113594
-2.1932800507,0.0000000000
-2.2025354413,-0.0384453991
-2.2111559897,-0.0772152686
-2.2191333296,-0.1162998497
-2.2264592301,-0.1556891959
-2.2331256002,-0.1953731742
-2.2391244921,-0.2353414674
-2.2444481054,-0.2755835751
-2.2490887911,-0.3160888160
-2.2530390547,-0.3568463297
-2.2562915608,-0.3978450785
-2.2588391364,-0.4390738496
-2.2606747747,-0.4805212572
-2.2617916391,-0.5221757444
-2.2621830666,-0.5640255861
-2.2618425715,-0.6060588904
-2.2607638495,-0.6482636021
-2.2589407806,-0.6906275042
-2.2563674335,-0.7331382211
-2.2530380685,-0.7757832208
-2.2489471416,-0.8185498180
-2.2440893076,-0.8614251766
-2.2384594238,-0.9043963127
-2.2320525534,-0.9474500974
-2.2248639689,-0.9905732599
-2.2168891554,-1.0337523904
-2.2081238140,-1.0769739437
-2.1985638653,-1.1202242417
-2.1882054521,-1.1634894773
-2.1770449433,-1.2067557175
-2.1650789365,-1.2500089068
-2.1523042613,-1.2932348708
-2.1387179825,-1.3364193196
-2.1243174029,-1.3795478518
-2.1091000664,-1.4226059577
-2.0930637608,-1.4655790233
-2.0762065209,-1.5084523344
-2.0585266310,-1.5512110800
-2.0400226277,-1.5938403568
-2.0206933029,-1.6363251727
-2.0005377060,-1.6786504512
-1.9795551466,-1.7208010357
-1.9577451973,-1.7627616934
-1.9351076958,-1.8045171196
-1.9116427473,-1.8460519425
-1.8873507270,-1.8873507270
-1.8622322821,-1.9283979795
-1.8362883344,-1.9691781524
-1.8095200819,-2.0096756487
-1.7819290009,-2.0498748266
-1.7535168485,-2.0897600039
-1.7242856638,-2.1293154633
-1.6942377702,-2.1685254569
-1.6633757768,-2.2073742110
-1.6317025802,-2.2458459310
-1.5992213663,-2.2839248066
-1.5659356113,-2.3215950165
-1.5318490835,-2.3588407335
-1.4969658446,-2.3956461299
-1.4612902508,-2.4319953822
-1.4248269541,-2.4678726765
-1.3875809033,-2.5032622139
-1.3495573451,-2.5381482154
-1.3107618247,-2.5725149273
-1.2712001871,-2.6063466270
-1.2308785774,-2.6396276275
-1.1898034416,-2.6723422836
-1.1479815274,-2.7044749972
-1.1054198840,-2.7360102224
-1.0621258631,-2.7669324714
-1.0181071189,-2.7972263198
-0.9733716081,-2.8268764124
-0.9279275904,-2.8558674686
-0.8817836278,-2.8841842881
-0.8349485854,-2.9118117566
-0.7874316302,-2.9387348513
-0.7392422314,-2.9649386469
-0.6903901597,-2.9904083208
-0.6408854871,-3.0151291594
-0.5907385857,-3.0390865634
-0.5399601274,-3.0622660537
-0.4885610829,-3.0846532773
-0.4365527209,-3.1062340128
-0.3839466069,-3.1269941763
-0.3307546019,-3.1469198273
-0.2769888615,-3.1659971743
-0.2226618343,-3.1842125808
-0.1677862605,-3.2015525708
-0.1123751701,-3.2180038348
-0.0564418817,-3.2335532355
-0.0000000000,-3.2481878139
0.0569365854,-3.2618947943
0.1143537026,-3.2746615910
0.1722368990,-3.2864758133
0.2305714442,-3.2973252718
0.2893423316,-3.3071979836
0.3485342815,-3.3160821786
0.4081317432,-3.3239663045
0.4681188980,-3.3308390331
0.5284796619,-3.3366892655
0.5891976884,-3.3415061382
0.6502563716,-3.3452790280
0.7116388495,-3.3479975583
0.7733280067,-3.3496516039
0.8353064784,-3.3502312973
0.8975566535,-3.3497270334
0.9600606780,-3.3481294755
1.0228004592,-3.3454295603
1.0857576691,-3.3416185035
1.1489137482,-3.3366878050
1.2122499099,-3.3306292541
1.2757471442,-3.3234349347
1.3393862224,-3.3150972307
1.4031477009,-3.3056088307
1.4670119260,-3.2949627335
1.5309590383,-3.2831522526
1.5949689774,-3.2701710216
1.6590214868,-3.2560129988
1.7230961183,-3.2406724720
1.7871722376,-3.2241440635
1.8512290289,-3.2064227344
1.9152455002,-3.1875037896
1.9792004887,-3.1673828820
2.0430726662,-3.1460560171
2.1068405442,-3.1235195577
2.1704824799,-3.0997702274
2.2339766820,-3.0748051158
2.2973012157,-3.0486216820
2.3604340096,-3.0212177589
2.4233528608,-2.9925915571
2.4860354416,-2.9627416688
2.5484593053,-2.9316670719
2.6106018925,-2.8993671330
2.6724405376,-2.8658416119
2.7339524751,-2.8310906645
2.7951148463,-2.7951148463
2.8559047054,-2.7579151160
2.9162990271,-2.7194928384
2.9762747123,-2.6798497879
3.0358085961,-2.6389881511
3.0948774536,-2.5969105299
3.1534580081,-2.5536199443
3.2115269370,-2.5091198350
3.2690608801,-2.4634140662
3.3260364460,-2.4165069277
3.3824302200,-2.3684031375
3.4382187713,-2.3191078440
3.4933786603,-2.2686266279
3.5478864465,-2.2169655045
3.6017186957,-2.1641309251
3.6548519882,-2.1101297792
3.7072629259,-2.0549693959
3.7589281406,-1.9986575453
3.8098243018,-1.9412024399
3.8599281243,-1.8826127358
3.9092163765,-1.8228975338
3.9576658883,-1.7620663803
4.0052535589,-1.7001292683
4.0519563656,-1.6370966376
4.0977513712,-1.5729793759
4.1426157328,-1.5077888187
4.1865267096,-1.4415367499
4.2294616715,-1.3742354015
4.2713981073,-1.3058974541
4.3123136331,-1.2365360362
4.3521860006,-1.1661647242
4.3909931057,-1.0947975415
4.4287129967,-1.0224489586
4.4653238831,-0.9491338913
4.5008041436,-0.8748677008
4.5351323353,-0.7996661918
4.5682872016,-0.7235456117
4.6002476811,-0.6465226489
4.6309929159,-0.5686144317
4.6605022605,-0.4898385260
4.6887552900,-0.4102129339
4.7157318092,-0.3297560914
4.7414118605,-0.2484868663
4.7657757328,-0.1664245558
4.7888039704,-0.0835888842
4.8104773810,-0.0000000000
4.8307770444,0.0843215270
4.8496843214,0.1693547083
4.8671808618,0.2550781403
4.8832486133,0.3414700075
4.8978698297,0.4285080855
4.9110270796,0.5161697456
4.9227032545,0.6044319576
4.9328815778,0.6932712944
4.9415456122,0.7826639361
